"","year","wave","us_regular","east_coast_regular","new_england_regular","central_atlantic_regular","lower_atlantic_regular","gulf_coast_regular","fl_regular","ma_regular","ny_regular","tx_regular"
"152",2020,5,2.170375,2.125125,2.116,2.276875,2.03375,1.843625,2.102875,2.07725,2.178375,1.81775
"153",1990,6,1.3274,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",1991,6,1.08633333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",1992,6,1.09622222222222,1.08988888888889,NA,NA,NA,1.07977777777778,NA,NA,NA,NA
"156",1993,6,1.04311111111111,1.03144444444444,1.06722222222222,1.07711111111111,1.00544444444444,1.03388888888889,NA,NA,NA,NA
"157",1994,6,1.103125,1.112375,1.166875,1.175125,1.072375,1.104625,NA,NA,NA,NA
"158",1995,6,1.06675,1.060125,1.154125,1.12325,1.009875,1.04475,NA,NA,NA,NA
"159",1996,6,1.23388888888889,1.23555555555556,1.312,1.28488888888889,1.19533333333333,1.212,NA,NA,NA,NA
"160",1997,6,1.14888888888889,1.14222222222222,1.233,1.19766666666667,1.09588888888889,1.11411111111111,NA,NA,NA,NA
"161",1998,6,0.973,0.961666666666667,1.02266666666667,1.01111111111111,0.922222222222222,0.923666666666667,NA,NA,NA,NA
"162",1999,6,1.26077777777778,1.25477777777778,1.331,1.31,1.20888888888889,1.21488888888889,NA,NA,NA,NA
"163",2000,6,1.48,1.459125,1.56375,1.536625,1.395375,1.388375,NA,NA,1.605,1.37975
"164",2001,6,1.12355555555556,1.094,1.16555555555556,1.14622222222222,1.03344444444444,1.04633333333333,NA,NA,1.23233333333333,1.03877777777778
"165",2002,6,1.40055555555556,1.40722222222222,1.48177777777778,1.463,1.34288888888889,1.34688888888889,NA,NA,1.558,1.33555555555556
"166",2003,6,1.49355555555556,1.49922222222222,1.56122222222222,1.56477777777778,1.43133333333333,1.39677777777778,1.48088888888889,1.52877777777778,1.66111111111111,1.38522222222222
"167",2004,6,1.91788888888889,1.92833333333333,1.96155555555556,1.96788888888889,1.889,1.81822222222222,1.97355555555556,1.94033333333333,2.08266666666667,1.79611111111111
"168",2005,6,2.220875,2.225125,2.19775,2.25875,2.20775,2.17075,2.294375,2.15825,2.40375,2.141625
"169",2006,6,2.271,2.258625,2.281625,2.295125,2.22425,2.15175,2.2735,2.231375,2.41925,2.141125
"170",2007,6,3.04577777777778,3.04677777777778,3.07111111111111,3.07633333333333,3.017,2.914,3.08077777777778,2.99333333333333,3.23177777777778,2.90222222222222
"171",2008,6,1.89144444444444,1.932,1.94355555555556,2.016,1.86555555555556,1.78444444444444,1.92255555555556,1.87777777777778,2.19688888888889,1.75466666666667
"172",2009,6,2.63177777777778,2.63333333333333,2.66555555555556,2.67244444444444,2.59455555555556,2.49944444444444,2.65833333333333,2.60344444444444,2.83755555555556,2.48566666666667
"173",2010,6,2.91855555555556,2.92822222222222,3.01977777777778,2.99022222222222,2.85455555555556,2.75155555555556,2.89088888888889,2.95444444444444,3.14533333333333,2.74211111111111
"174",2011,6,3.32475,3.335625,3.420125,3.373875,3.282125,3.1255,3.301375,3.330875,3.569375,3.13675
"175",2012,6,3.37322222222222,3.44111111111111,3.58811111111111,3.58077777777778,3.29266666666667,3.14455555555556,3.31788888888889,3.52311111111111,3.79444444444444,3.12633333333333
"176",2013,6,3.26144444444444,3.34855555555556,3.46855555555556,3.413,3.26466666666667,3.06722222222222,3.33788888888889,3.39633333333333,3.58977777777778,3.06677777777778
"177",2014,6,2.70688888888889,2.76211111111111,2.87622222222222,2.861,2.654,2.47844444444444,2.68366666666667,2.80888888888889,3.06222222222222,2.47711111111111
"178",2015,6,2.10444444444444,2.08822222222222,2.129,2.16655555555556,2.01722222222222,1.84855555555556,2.04088888888889,2.07988888888889,2.25722222222222,1.84733333333333
"179",2016,6,2.217875,2.23575,2.24425,2.341,2.1545,1.99175,2.16275,2.194375,2.3555,1.980875
"180",2017,6,2.520125,2.484625,2.562,2.60975,2.367625,2.23725,2.386,2.55375,2.585125,2.223625
"181",2018,6,2.49077777777778,2.451,2.59433333333333,2.6,2.31744444444444,2.16677777777778,2.34755555555556,2.63122222222222,2.69066666666667,2.13655555555556
"182",2019,6,2.574,2.47144444444444,2.53188888888889,2.60933333333333,2.36911111111111,2.23366666666667,2.38955555555556,2.537,2.598,2.21711111111111
"183",2020,6,2.11616666666667,2.0845,2.09133333333333,2.26483333333333,1.97,1.78533333333333,1.9975,2.04833333333333,2.15016666666667,1.74733333333333
